title,artist,mood,lyrics
Battle Cry,Imagine Dragons,non-romance,"Just one more time Before I go, I'll let you know That all this time I've been afraid Wouldn't let it show Nobody can save me now, no Nobody can save me now   Stars are only visible in darkness Fear is ever-changing and evolving And I, I feel poisoned inside But I, I feel so alive  Nobody can save me now King is crowned It's do or die Nobody can save me now The only sound Is the battle cry Is the battle cry Is the battle cry Nobody can save me now It's do or die   Nobody can save me now King is crowned It's do or die Nobody can save me now The only sound Is the battle cry Is the battle cry Is the battle cry Nobody can save me now It's do or die   Just one more time Before I go, I'll let you know That all this time I've been afraid Wouldn't let it show Nobody can save me now, no Nobody can save me nowYou might also like51Embed"
I Don't Wanna Be Sad,Simple Plan,non-romance,"No, I don't wanna be sad I don't wanna be sad, sad, sad no more   It’s been 28 days since I’ve seen the sunshine 'Cause I just can't seem to lift this cloud away I swear all the tears I’ve cried could fill an ocean I've been swimming in a sea of misery   I can't find the strength to leave this bed I’m locked up in my cuckoo head I feel so low and I can't let go I've got all the symptoms, all the signs I tell my friends I'll be just fine But truth be told, it’s getting old  No, I don't wanna be sad I don't wanna be sad, sad, sad no more  And I know some days will be bad But I don't wanna be sad, sad, sad no more   I've tried every pill the doctor will prescribe me And I've put myself through weeks of therapy  I've tried meditation, yoga and pilates It's like happiness just wasn't meant for me    But I’m through, I'm done, I've had enough I'll ditch this funk, I tell you what Just watch me now 'Cause I won’t back down I've got a bad ass personality So I just need to set it free It starts today, I’m on my way   No, I don't wanna be sad I don't wanna be sad, sad, sad no more  And I know some days will be bad But I don't wanna be sad, sad, sad no more You might also like Ooohhh  I don't wanna be sad Ooohhh  I don't wanna be sad Ooohhh  I don't wanna be sad Sad, sad, sad, sad, sad No, I don't wanna be sad I don't wanna be sad, sad, sad no more And I know some days will be bad But I don't wanna be sad, sad, sad no more   No, I don't wanna be sad I don't wanna be sad, sad, sad no more  And I know some days will be bad But I don't wanna be sad, sad, sad no more   Uuhh  I don't wanna be  I don't wanna be sad, sad, sad no more Uuhh  I don't wanna be  I don't wanna be sad, sad, sad no more6Embed"
Price Tag,Jessie J,non-romance,none
Ain't It Fun,Paramore,non-romance,"I don't mind Lettin' you down easy, but just give it time If it don't hurt now, but just wait, just wait a while You're not the big fish in the pond no more You are what they're feedin' on   So what are you gonna do When the world don't orbit around you?  So what are you gonna do When the world don't orbit around you?  Ain't it fun Livin' in the real world? Ain't it good Bein' all alone?   Where you're from You might be the one who's runnin' things Well, you could ring anybody's bell and get what you want You see, it's easy to ignore trouble When you're livin' in a bubble   So what are you gonna do When the world don't orbit around you?  So what are you gonna do When nobody wants to fool with you?    Ain't it fun Livin' in the real world? Ain't it good Bein' all alone? Ain't it good to be on your own?  Ain't it fun you can't count on no one?  Ain't it good to be on your own?  Ain't it fun you can't count on no one?  Ain't it fun Livin' in the real world? You might also like Don't go cryin' to your mama 'Cause you're on your own in the real world Don't go cryin' to your mama 'Cause you're on your own in the real world Don't go cryin' to your mama 'Cause you're on your own in the real world Don't go cryin' to your mama 'Cause you're on your own in the real world   Ain't it fun? Ain't it fun? Baby, now you're one of us Ain't it fun? Ain't it fun? Ain't it fun?   Ain't it fun Livin' in the real world? Ain't it good, ain't it goo-oo-ood Bein' all alone? Ain't it fun Livin' in the real world?  Ain't it good, ain't it goo-oo-ood Bein' all alone?   Don't go cryin' to your mama  'Cause you're on your own in the real world  Don't go cryin' to your mama  'Cause you're on your own in the real world  Don't go cryin' to your mama  'Cause you're on your own in the real world  Don't go cryin' to your mama  'Cause you're on your own in the real world    This is the real world, this is the real world  Don't go cryin'  Oh, oh  Don't you cry to your mama  'Cause you're on your own  Don't you go, don't you go cryin'  You're on your own  No, don't go cryin' to your mama  Don't you cry, don't you cry110Embed"
R.I.P. 2 My Youth,The Neighbourhood,non-romance,"R.I.P. to my youth And you could call this the funeral I'm just telling the truth And you can play this at my funeral Wrap me up in Chanel inside my coffin Might go to Hell and there ain't no stopping Might be a sinner and I might be a saint I'd like to be proud but somehow I'm ashamed Sweet little baby in a world full of pain I gotta be honest, I don't know if I could take it Everybody's talkin' but what's anybody saying? Mama said if I really want it, then I can change it, yeah R.I.P. to my youth If you really listen, then this is to you Mama, there is only so much I can do Tough for you to witness but it was for me too  I'm using white lighters to see what's in front of me    R.I.P. to my youth And you could call this the funeral I'm just telling the truth, yeah You can play this at my funeral Tell my sister don't cry and don't be sad I'm in paradise with Dad Close my eyes and then cross my arms Put me in the dirt, let me dream with the stars Throw me in a box with the oxygen off You gave me the key and you locked every lock When I can't breathe, I won't ask you to stop When I can't breathe, don't call for a cop I was naive and hopeful and lost Now I'm aware and trapped in my thoughts, woah   What do I do? What do I do? I don't believe it if I don't keep proof I don't believe it if I don't know you I don't believe it if it's on the news or on the Internet I need a cigarette You might also like I'm using white lighters to see what's in front of me I'm using white lighters to see   R.I.P. to my youth And you could call this the funeral I'm just telling the truth And you can play this at my funeral Tell my sister don't cry and don't be sad I'm in paradise with Dad Close my eyes and then cross my arms Put me in the dirt, let me be with the stars   I'm using white lighters to see what's in front of me I'm using white lighters to see what's in front of me84Embed"
Fireflies,Owl City,non-romance,none
Airplanes (feat. Hayley Williams of Paramore),B.o.B,non-romance,none
I See Fire,Ed Sheeran,non-romance,"Oh, misty eye of the mountain below Keep careful watch of my brothers' souls And should the sky be filled with fire and smoke Keep watching over Durin's sons   If this is to end in fire, then we should all burn together Watch the flames climb high into the night Calling out, Father, oh, stand by and we will Watch the flames burn auburn on the mountain side high  And if we should die tonight, we should all die together Raise a glass of wine for the last time Calling out, Father, oh, prepare as we will Watch the flames burn auburn on the mountain side Desolation comes upon the sky   Now, I see fire inside the mountain I see fire burning the trees And I see fire hollowing souls I see fire, blood in the breeze And I hope that you’ll remember me   Oh, should my people fall then surely, I'll do the same Confined in mountain halls, we got too close to the flame Calling out, Father oh, hold fast and we will Watch the flames burn auburn on the mountain side Desolation comes upon the sky   Now, I see fire inside the mountain I see fire burning the trees And I see fire hollowing souls I see fire, blood in the breeze And I hope that you’ll remember me You might also like And if the night is burning, I will cover my eyes For if the dark returns, then my brothers will die And as the sky's falling down, it crashed into this lonely town And with that shadow upon the ground, I hear my people screaming out   Now, I see fire inside the mountain I see fire burning the trees I see fire hollowing souls I see fire, blood in the breeze I see fire  I see fire  I see fire And I see fire burn auburn on the mountain side262Embed"
"You Need Me, I Don't Need You",Ed Sheeran,non-romance,"I don't want bruise your ears Or hurt you again But I got back-stabbed by a black cab When I needed a friend   Now I'm in town, break it down, thinking of making a new sound Playing a different show every night in front of a new crowd That’s you now, ciao, seems that life is great now See me lose focus as I sing to you loud And I can't, no, I won't hush I'll say the words that make you blush I'm gonna sing this now  See, I’m true, my songs are where my heart is I'm like glue, I stick to other artists I'm not you, now, that would be disastrous Let me sing and do my thing and move to greener pastures See, I'm real, I do it all, it's all me I'm not fake, don't ever call me lazy I won't stay put, give me the chance to be free Suffolk sadly seems to sort of suffocate me  'Cause you need me, man, I don't need you You need me, man, I don't need you You need me, man, I don't need you at all You need me, man, I don't need you You need me, man, I don't need you You need me, man, I don't need you You need me, man, I don't need you at all You need me   I sing and write my own tune and I write my own verse, hell Don't need another wordsmith to make my tunes sell Call yourself a singer-writer, you're just bluffing Name's on the credits and you didn't write nothing I sing fast, I know that all my shit's cool I will blast and I didn't go to BRIT School I came fast with the way I act, right I can't last if I'm smoking on a crack pipe And I won't be a product of my genre My mind will always be stronger than my songs are Never believe the bullshit that fake guys feed to ya Always read the stories that you hear in Wikipedia And musically, I'm demonstrating When I perform live, feels like I am meditating Times at the enterprise when some fella filmed me A young singer-writer like a Gabriella Cilmi You might also like 'Cause you need me, man, I don’t need you You need me, man, I don't need you You need me, man, I don't need you at all You need me, man, I don't need you You need me, man, I don't need you You need me, man, I don't need you You need me, man, I don't need you at all You need me   'Cause with the lyrics, I'll be aiming it right I won't stop 'til my name's in lights at stadium heights, with Damien Rice On red carpets, now I'm on Arabian Nights Because I'm young, I know my brother's gonna give me advice Long nighter, short height and I gone hyper Never be anything but a singer-songwriter, yeah The game's over but now I'm on a new level Watch how I step on the track without a loop pedal People think that I'm bound to blow up I've done around about a thousand shows, but I haven't got a house, plus I live on a couch So you believe the lyrics when I'm singing them out Wow, from day one, I've been prepared With V05 wax for my ginger hair So now, I'm back to the sofa giving a dose of What the future holds 'cause it's another day Plus I'll keep my last name forever, keep this genre pretty basic Gonna be breaking into other people's tunes when I chase it And replace it with the elephant in the room with a facelift Slipping into another rapper shoes using new laces I'm selling CDs from my rucksack aiming for the papers Selling CDs from my rucksack aiming for the majors Nationwide tour with Just Jack, still had to get the bus back Clean cut kid without a razor for the moustache I hit back when the pen hurts me I'm still a choir boy in a Fenchurch tee I'm still the same as a year ago, but more people hear me, though According to the MySpace and YouTube videos I'm always doing shows, if I'm not, I'm in the studio Truly broke, never growing up, call me Rufio Melody music maker, reading all the papers They say I'm up and coming like I'm fucking in an elevator  'Cause you need me, man, I don't need you You need me, man, I don't need you You need me, man, I don't need you at all You need me, man, I don't need you You need me, man, I don't need you You need me, man, I don't need you You need me, man, I don't need you at all You need me, man, I don't need you46Embed"
Guns for Hands,Twenty One Pilots,non-romance,"I know what you think in the morning When the sun shines on the ground And shows what you have done It shows where your mind has gone And you swear to your parents That it will never happen again I know, I know-ow-ow What that means, I know-ow-ow-ow-ow   That you all have guns And you never put the safety on And you all have plans To take it, to take it, don't take it, take it, take it I'm trying, I'm trying to sleep I'm trying, I'm trying to sleep But I can't, but I can't when you all have Guns for hands, yeah I'm trying, I'm trying to sleep I'm trying, I'm trying to sleep But I can't, but I can't when you all have Guns for hands, yeah  Let's take this a second at a time Let's take this one song, this one rhyme Together, let's breathe Together, to the beat But there's hope out the window So that's where we'll go Let's go outside and all join hands But until then you'll never understand   That you all have guns And you never put the safety on And you all have plans To take it, to take it, don't take it, take it, take it  I'm trying, I'm trying to sleep I'm trying, I'm trying to sleep But I can't, but I can't when you all have Guns for hands, yeah   Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yeah, yeah Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Whoo!     You might also like We've turned our hands to guns Traded our thumbs for ammunition I must forewarn you of my disorder, or my condition 'Cause when the sun sets It upsets what's left of my invested interest Interested in putting my fingers to my head The solution is, I see a whole room of these mutant kids Fused at the wrist, I simply tell them they should shoot at this Simply suggest my chest and this confused music It's obviously best for them to turn their guns to a fist   I'm trying, I'm trying to sleep I'm trying, I'm trying to sleep But I can't, but I can't when you all have Guns for hands, yeah I'm trying, I'm trying to sleep  I'm trying, I'm trying to sleep  But I can't, but I can't when you all have Guns for hands, yeah116Embed"
Good Day,DNCE,non-romance,"Today is gonna be a good day Don't care what anybody else say Oh-oh-oh, I don't need a fortune cookie to tell me the way I'm feelin' Gonna be a good day, a good day   Woke up, just woke up, my girlfriend warned me that I drink too much Advil, the good pill, head pounds like the bass on a party bus Memories, the memories, the Instagram's tellin' me everythin' And I regret nothin', oh  Ooh-ooh-ooh, I feel like a million bucks in the toilet Ooh-ooh-ooh, my head to my toes to my soul has been poisoned Livin' proof, that even when your whole life has been destroyed, shh You still can enjoy it   Today is gonna be a good day Don't care what anybody else say Oh-oh-oh, I don't need a fortune cookie to tell me the way I'm feelin' Gonna be a good day, a good day   A good day  A good day   Last night, 'bout last night, got in a fight with the karaoke mic Shots fired by Fireball, can't tell what's the ceilin' or what's the wall   Ooh-ooh-ooh, I feel like a million bucks in the toilet Ooh-ooh-ooh, my head to my toes to my soul has been poisoned Livin' proof, that even when your whole life has been destroyed, shh You still can enjoy it, oh You might also like Today is gonna be a good day Don't care what anybody else say Oh-oh-oh, I don't need a fortune cookie to tell me the way I'm feelin' Gonna be a good day, a good day   Keep it goin' up, I'll keep it goin', I'll keep it goin', ah-woo Keep it goin', I'll keep it goin', I'll keep it goin', ah-woo When the mornin' comes, when the mornin' comes, still, we're goin', ah-woo Keep it goin', I'll keep it goin', I'll keep it goin', ah-woo Aw, yeah, okay, I'm gonna sit down for a sec, I need a Bloody Mary   Today is gonna be a good day Don't care what anybody else say, oh, ouch Today is gonna be a good day  Don't care what anybody else say  Oh-oh-oh, I don't need a fortune cookie to tell me the way I'm feelin'  Gonna be a good day , a good day Gonna be a good day  Don't care what anybody else say  Oh-oh-oh, I don't need a fortune cookie to tell me the way I'm feelin' Gonna be a good day , a good day   Ah-na-na, na-na-na-na-na-na, good day Ah-na-na , na-na-na-na-na-na, good day Ah-na-na, na-na-na-na-na-na, good day Ah-na-na, na-na-na-na-na-na, good day, na-na-na, haha5Embed"
Come Together - Remastered,The Beatles,non-romance,"Rain love on me Rain love on me Open up your eyes and finally see   My grandma passed away at the top of last year  At the funeral drowning 'cause I couldn't hold back tears  But after all that's happened this past year Part of me sees grace in the fact that she's not here As a grandson, this statement's a fact No elderly should ever be victim of such a heinous attack Prey on the weak; only cowards would take advantage of that No more staying meek, it's time to take a stand and react  A simple trip to the market, thought the streets were safe Turned targets, I speak up for my people's sake From this pandemic, I'm hopeful that we'll see escape Until then, love's the only vaccine for hate  Now when my folks leave the house, it's quite the norm  My mind's flooded with thoughts of what might go wrong Truthfully, I wish I didn't have to write this song But it's only right I recite it since this mic is on  What if we went a little bit out of our way to stop the hatred?  Stop the hatred What if we took a little time out of our day to stop the hatred?  Stop the hatred Rain love on me   Uhh, he cold like Antarctica It don't matter if you black and white, says the man in the mirror The squad's facing the terror I'm talking mother, father, sister, brother, grandma, and grandpapa All doomed 'cause of skin color Paranoid like my mind playing tricks on this ghetto boy So I gotta scream for my mama like I'm George Floyd Now I'm all in linen like John imagining But he ain't give peace a chance he took eight lives with him Where the love go still unanswered Politicians, they be flipping Gabby Douglas Divide so they can conquer then they chain our ancestors Come together like the Beatles remastered   What if we went a little bit out of our way to stop the hatred?  Stop the hatred What if we took a little time out of our day to stop the hatred?  Stop the hatred Rain love on me You might also like It's new footage every other day, every bit of it hard to watch I'm talking to my son, he's eight—listen to your pops I said don't fall for the bait; the actions of a few Don't reflect the nature of an entire race  Maybe the past is full of lessons but we missed it History shows, indeed, tension has existed  Between the two communities, but here's a fact Beyond colors, we're humans, not just yellow or black Like Chris Rock, I ain't liberal or conservative inside I just know the enemy would love to further the divide Media don't care how the story is told They're more concerned with how the story is sold  Preconceived notions make it harder to see Together there's much power Rush Hour, look at Carter and Lee  Hopefully, through dialogue we'll start to agree More light for you doesn't make the world darker for me Nuh-uh   What if we went a little bit out of our way to stop the hatred?  Stop the hatred What if we took a little time out of our day to stop the hatred?  Stop the hatred Rain love on me  Rain love on me  Rain love on me Open up your eyes and finally see Open up your eyes and finally see Rain love on me  Rain love on me Open up your eyes and finally see   I want you to say exactly what's on your heart right now, say it Stop the hatred *Cheering* Say it one more time; Chance Stop the hatred *Cheering*1Embed"
Fight Song,Rachel Platten,non-romance,none
Come Together,Aerosmith,non-romance,"LyricsHere come old flat top He come groovin' up slowly He got Joo Joo eyeball He one holy roller He got hair down to his knee Got to be a joker, he just do what he please  He wear no shoeshine He got toe jam football He got monkey finger He shoot Coca Cola He say I know you, you know me One thing I can tell you is you got to be free Come together Right now Over me  He bad production He got walrus gumboot He got Ono sideboard He one spinal cracker He got feet down below his knee Hold you in his armchair, you can feel his disease  Come together Right now Over me  He roller coaster He got early warning He got muddy water He one mojo filter He say one and one and one is three Got to be good lookin' 'cause he's so hard to see  Come together Right now Over me You might also likeCome together Come together Come together Come together Come together Come together1Embed"
Blitzkrieg Bop - 2016 Remaster,Ramones,non-romance,none
We Are the Kids,WALK THE MOON,non-romance,"Don't wanna wait 'til the morning Don't wanna wait 'til the morning comes You know the bigger picture changes when your colors run I got my hand in my pocket And there's a diamond at my fingertips Don't wanna wait 'til the morning You and I, we live for this   I rip holes in my shirt There's mud on my shoes There's sun on my skin I am brand-new We shout at the cops We howl at the moon Just a matter of time Don'tcha get it?  We are the kids that you never can kill You never can kill, you never can kill You say that we won't, but you know that we will You know that we will keep on   Don't wanna wait for permission We got our own fresh set of rules We take that old school fashion, shape it into something new You got your hand in my pocket You like to dance with my fingertips Don't gotta wait for permission You and I, we live for this   We are the kids that you never can kill You never can kill, you never can kill You say that we won't, but you know that we will You know that we will keep on  I said  We are the kids that you never can kill You never can kill, you never can kill You say that we won't, but you know that we will You know that we will keep on You might also like Lost boys lost girls High tides wild animals We won't live forever Hand over the future Hand over the future Hand over the future Hand over the future Now now now now   I rip holes in my shirt There's mud on my shoes There's sun on my skin I am brand-new We shout at the cops We howl at the moon Just a matter of time Don'tcha get it?   We are the kids that you never can kill You never can kill, you never can kill You say that we won't, but you know that we will You know that we will keep on I said  We are the kids that you never can kill You never can kill, you never can kill You say that we won't, but you know that we will You know that we will keep on  C'mon Hand over the future Hand over the future Hand over the future Hand over the future Lost boys lost girls Hand over the future Hand over the future Now now now now6Embed"
Thunder,Imagine Dragons,non-romance,none
Feel It Still,Portugal. The Man,non-romance,none
Fly - FKJ Remix,June Marieezy,non-romance,"LyricsWhy you waitin  Be the light My three sixty degree reality Sunset beach I don't need HD TV I want the real thing Living off a dream Gimmie couple thousands I'mma jet to Philippines  My three sixty degree ability Visioneer lose the fear let there be reason Give circulation to the nation we are one Everything is fun under the sun I just tell myself to fly Fly in the sun you breathe Fly you do not need me Fly in the song you sing Why you waitin Be the light  My three sixty dollars on the shelf What's my wealth I'm the best at bein' myself I can tell you American dreams Nice things from the shop But I really think that Asia's bout to pop  My three sixty five days on the wall Live each day like my last Green like paper over plastic Wrap my head around the whole world is a blast If ya open up to magic I just wanna tell you fly  Fly, you do not need me to Fly in the sun you breathe Fly in the song you sing Why you waitin Be the light I will, I will rise with the tribe I can feel your vibe from the other sideYou might also like2Embed"
Reckless,Healy,non-romance,"Beach Boys on the ride home I can get there with my eyes closed Exactly 34 minutes after I pull out your driveway You dial my phone Paper cover rock Scripture cover Peter  Yeah I'm cutting off my locks  And I'm changing my demeanor    It goes like this  Pool days, high tops With my blue face, ice pops  I'ma make a shoelace necklace Yeah we whipping pop's old Lexus  And I'm skipping school days, mic drops  Eyes on summer like cyclops Yeah we fallin' off the sidewalk Mama wants you home before nightfall   Summer come and I ain't got a new car Yeah I'm still getting scooped up Call me by my first letter, ""Ayy E, what's up?"" Every now and then, city need a refresher Breaking up to Sufjan Wake up on your futon Why you in my crewneck, wait  Jerry's line too long Teenage mutant Coming out of my shell, ayy   Uh   Yeah this be that cornerpiece, cornerstone 10 piece, Corner sto' Skinned knees, cortisone And ex links, chromosome Summer feet, cobblestone Momma leave, home alone On my feet, Chuckie T's On my sleeve, Corazón '99 titans Close to my goals, yeah Look like Kevin Dyson when my curfew getting closer Hand me downs, pick me ups Dark side, shouts Ryan In my hood, call it buck You might also like Pool days, high tops With my blue face, ice pops  I'ma make a shoelace necklace Yeah we whipping pop's old Lexus  And I'm skipping school days, mic drops Eyes on summer like cyclops Yeah we fallin' off the sidewalk  Momma wants you home before nightfall   Pool days, high tops With my blue face, ice pops  I'ma make a shoelace necklace Yeah we whipping pop's old Lexus And I'm skipping school days, mic drops Eyes on summer like cyclops Yeah we fallin' off the sidewalk Momma wants you home before nightfall     Na, na, na Na, na, na Na, na Na, na, na Na, na, na  You can't stand me, you legless Might grow my hair long like Legolas Yeah I'm feeling ruthless, reckless11Embed"
Icarus,Bastille,non-romance,"Mmmm-m-m-m-mm-m-mm  O-o-o-o-o-oh O-o-o-o-o-oh O-o-o-o-o-oh, oh O-o-o-o-o-oh O-o-o-o-o-oh   ""Look who's digging their own grave"" That is what they all say; you'll drink yourself to death Look who makes their own bed, lies right down within it And what will you have left?  Out on the front doorstep, drinking from a paper cup You won't remember this Living beyond your years, acting out all their fears You feel it in your chest   Your hands protect the flames From the wild winds around you   Icarus is flying too close to the sun And Icarus' life, it has only just begun It's just begun    Standing on the cliff face, highest fall you'll ever grace It scares me half to death Look out to the future, but it tells you nothing So take another breath   Your hands protect the flames From the wild winds around you You might also like Icarus is flying Too close to the sun And Icarus' life It has only just begun This is how it feels To take a fa-a-all Icarus is flying Towards an early grave   You put up your defences when you leave You leave because you're certain Of who you want to be You're putting up your armour when you leave And you leave because you're certain Of who you want to be, oh   Icarus is flying Too close to the sun And Icarus' life It has only just begun This is how it feels To take a fa-a-all Icarus is flying Towards an early grave  Oh, oh  Oh, oh, oh-oh oh-oh, oh, oh  Oh oh, oh, oh, oh, oh-oh oh 112Embed"
"Weight Of Living, Pt. I",Bastille,non-romance,"Ooh, ooh ooh ooh Ooh, ooh-ooh ooh-ooh Ooh-ooh-ooh ooh, ooh ooh ooh Ooh, ooh-ooh ooh-ooh   There's an albatross around your neck All the things you've said and the things you've done Can you carry it with no regrets? Can you stand the person you've become?  Oh, there's a light Oh oh oh, there's a light   Your albatross Let it go, let it go Oh, your albatross Shoot it down, shoot it down  When you just can't shake the heavy weight Of living...   Stepping forward out into the day Shrugging off the dust and memory Though it's soaring still above your head It is out of sight and none shall see   Oh, there's a light Oh oh oh, there's a light   Your albatross Let it go, let it go Oh, your albatross Shoot it down, shoot it down You might also likeWhen you just can't shake the heavy weight Of living When you just can't seem to shake the weight Of living   It's the sun in your eyes In your eyes It's the sun in your eyes In your eyes  It's the sun in your eyes In your eyes It's the sun in your eyes In your eyes   Your albatross Let it go, let it go Oh, your albatross Shoot it down, shoot it down  When you just can't shake the heavy weight Of living When you just can't seem to shake the weight Of living  The weight of living The weight of living The weight of living The weight of living   Ooh, ooh ooh ooh Ooh, ooh-ooh ooh-ooh Ooh-ooh-ooh ooh, ooh ooh ooh Ooh-ooh67Embed"
Paradise,Coldplay,non-romance,"  Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh When she was just a girl She expected the world But it flew away from her reach So she ran away in her sleep   And dreamed of para-, para-, paradise Para-, para-, paradise Para-, para-, paradise Every time she closed her eyes  Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh When she was just a girl She expected the world But it flew away from her reach And the bullets catch in her teeth   Life goes on, it gets so heavy The wheel breaks the butterfly Every tear, a waterfall In the night, the stormy night, she'd close her eyes In the night, the stormy night, away she'd fly   And dream of para-, para-, paradise Para-, para-, paradise Para-, para-, paradise Oh, oh-oh, oh-oh, oh-oh-oh She'd dream of para-, para-, paradise Para-, para-, paradise Para-, para-, paradise Oh, oh-oh, oh-oh, oh-oh-oh   La, la-la, la-la-la La, la-la, la-la-la La, la-la, la-la-la, la-la So lying underneath those stormy skies She said, ""Oh, oh-oh-oh-oh I know the sun must set to rise"" You might also like This could be para-, para-, paradise Para-, para-, paradise This could be para-, para-, paradise Oh, oh-oh, oh-oh, oh-oh-oh This could be para-, para-, paradise Para-, para-, paradise This could be para-, para-, paradise Oh, oh-oh, oh-oh, oh-oh-oh     This could be para-, para-, paradise This could be para-, para-, paradise This could be para-, para-, paradise Oh-oh-oh-oh-oh oh-oh-oh   Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh Ooh-ooh-ooh, ooh-ooh-ooh...100Embed"
