title,artist,mood,lyrics
Can't Take My Eyes Off You,Joseph Vincent,in love,"You're just too good to be true Can't take my eyes off of you You'd be like Heaven to touch I wanna hold you so much At long last, love has arrived And I thank God I'm alive You're just too good to be true Can't take my eyes off of you   Pardon the way that I stare There's nothin' else to compare The sight of you leaves me weak There are no words left to speak But if you feel like I feel Please let me know that it's real You're just too good to be true Can't take my eyes off of you  I need you, baby And if it's quite alright I need you, baby To warm the lonely night I love you, baby Trust in me when I say Oh, pretty baby Don't let me down, I pray Oh, pretty baby Now that I've found you, stay And let me love you, baby Let me love you   You're just too good to be true Can't take my eyes off of you You'd be like Heaven to touch I wanna hold you so much At long last, love has arrived And I thank God I'm alive You're just too good to be true Can't take my eyes off you   I need you, baby And if it's quite alright I need you, baby To warm the lonely night I love you, baby Trust in me when I say, yeah Oh, pretty baby Don't let me down, I pray Oh, pretty baby Now that I've found you, stay And let me love you baby Let me loveYou might also likeEmbed"
comethru (with Bea Miller),Jeremy Zucker,in love,"Lyrics3/1 AJ Mitchell - ""All My Friends"" ​​Bea Miller & 6LACK - ""it's not u it's me"" Betta Lemme - ""Kick the Door"" ​blackbear - ""HIGH1X"" Bryce Vine - ""La La Land"" ft. YG Cee Kay - ""Pressure"" ft. YoungBoy Never Broke Again Chevy Woods - ""Joker"" Cosmo's Midnight - ""C.U.D.I. "" Deepend - ""One Thing Left To Do"" ft. Hanne Mjøen Dizzy Wright - ""Champagne Service"" Ed.  - ""No Love"" Ellie Goulding - ""Flux"" Ezri - “Fish Fillet” ft. Desiigner, SosMula Fuego & Nicky Jam - ""Good Vibes "" ft. De La Ghetto, Amenazzy & C. Tangana Futuristic - ""Fire"" Gesaffelstein - ""Blast Off"" ft. Pharrell Williams Global Dan & Global Chi - ""We Lit"" Hannah Jane Lewis - ""Not Yours Never Was"" HoodCelebrityy - ""Inside"" Jacob Latimore - ""Come Over Here"" Jake Paul - I'm Single"" Jasmine Sokko - ""TIRED"" Jonas Brothers - ""Sucker"" Juice Wrld- ""hear me calling"" Julie Bergan - ""STFU"" Jupiter Project - ""Summer Rollin"" ft. Ryan Enzed K.Flay - ""Bad Vibes"" Kodak Black - ""Pimpin' Ain't Eazy"" Lil Blurry - ""Bentley"" ft. RiFF RAFF Lil Gotit - ""Da Real HoodBabies"" Lil Reese - ""What It Do"" ft. Fredo Santana Lil West - ""No L's"" ft. Yung Bans Luke Christopher - ""CALL ME BACK"" Maluma - ""HP"" MARINA - ""Superstar"" Martin Jensen & James Arthur - ""Nobody"" Maya B - ""Dollar to a Diamond"" Nafe Smallz - ""Like a Film"" ft. M Huncho Noah Kahan - ""Mess"" Octavian - ""Bet "" ft. Michael Phantom & Skepta Queen Key - ""Can't Take It"" Rich the Kid - ""4 Phones"" Rita Ora - ""Only Want You "" ft. 6LACK SAINt JHN - ""Trap"" ft. Lil Baby Sigrid - ""Sight of You"" Stephen Puth - ""Half Gone"" Sybyr - ""Asexual"" ​The Him - ""Tell Your Friends"" ft. Loote Timmy Trumpet - ""High"" ft. Lee Fields & Bliss n Eso Tom Francis & Snoop Dogg - ""Lifestyle"" Twista - ""Tonite"" Zacari - ""Midas Touch"" Zoey Dollaz - ""Highway Full of Pain"" 3/2 Chad Tepper - ""Candy"" ft. Lil Blurry  3/3 ZenAware - ""Mochi""  3/4 Bankroll Fresh - ""Extras"" ​Billie Eilish - ""wish you were gay"" Nick Murphy - ""Sanity"" 3/5 Freddie Gibbs & Madlib - ""Bandana"" Kidswaste - ""Sleeping Pills"" ft. KOLE Lildaddex - ""Crash My Whip"" Mac DeMarco - ""Nobody"" Quelle Chris - ""Straight Shot"" ft. James Acaster, Eldar Djangirov, Cavalier & Bilal Salaam Sam Sneak - ""Gas"" ft. Wale The National - ""You Had Your Soul with You"" ft. Gail Ann Dorsey Tierra Whack - ""Gloria"" 3/6 IDK - ""Trigger Happy"" Lil Gotit - ""Now"" Skooly - ""Lil Boy Shit"" ft. Lil Keed Lil Xan - ""I MIGHT"" ft. YBN Almighty Jay, $teven Cannon & YBN Nahmir Soulja Boy Tell 'Em - ""10 Speed"" Stef Chura - ""Method Man"" Unlike Pluto - ""New Life, Who Dis?"" Yung Lean - ""2 Cups"" Yung Lean - ""Smirnoff Ice"" Yung Trench - ""WASTED"" 3/7 Angie McMahon - ""Pasta"" Ava Max - ""So Am I"" Charlie Heat & Denzel Curry - ""Aloha"" Khalid - ""My Bad"" Louis Tomlinson - ""Two of Us"" Party Favor & GTA - ""Work It Out"" Phora - ""Don't Change"" Pouya & Boobie Lootaveli - ""The Night Survives Again"" RiFF RAFF - ""TiP TOE 3"" ft. Chief Keef scarlxrd - ""STFU"" The Black Keys - ""Lo/Hi"" 3/8 88GLAM - ""Lil Boat "" ft. Lil Yachty Always Never - ""Space Between"" Andy Black - ""Ghost of Ohio"" Cage The Elephant - ""​House of Glass"" CupcakKe - ""Bird Box"" Dagny x Steve Aoki - ""Hit Your Heart"" Daya - ""Insomnia"" Darnell Williams - ""Turbo"" ft. Reese LAFLARE Deante' Hitchcock - ""Side Nigga Anthem"" DJ E Feezy - ""TELL ME"" DOROTHY - ""Freedom "" ft. Angel Haze DVBBS - ""Somebody Like You"" ft. Saro Eliott - ""Shaking My Hips"" FKJ - ""Leave My Home"" flor - ""slow motion"" Hardwell & Mike Williams - ""I'm Not Sorry"" Hoodrich Pablo Juan - ""Can't Fall N Luv"" ft. Smooky MarGielaa Jay Sean - ""With You"" ft. Asian Doll & Gucci Mane J-E-T-S - ""POTIONS"" ft. Dawn Richard John Newman - ""Feelings"" Kiana Ledé - ""EX "" ft. Lil Baby Lil Gotit - ""Drip School"" ft. Lil Durk LION BABE - ""Western World"" ft. Raekwon Lost Frequencies - ""Recognise"" ft. Flynn Loud Luxury - ""Love No More "" ft. anders Luke Christopher - ""FWU"" Marshmello - ""Here With Me"" ft. CHVRCHES Olivia O'Brien - ""Love Me "" Prince Fox & Ellise - ""Tell Me"" Robin Thicke - ""That's What Love Can Do"" Sabrina Carpenter - ""Pushing 20"" Salma Slims - ""Seasoning"" The Chemical Brothers - ""We’ve Got to Try"" Tritonal - ""Diamonds"" ft. Rosie Darling Vampire Weekend - ""Flower Moon"" ft. Steve Lacy Yandel - ""Que No Acabe"" YBN Cordae - ""Have Mercy"" Zolita - ""Black Magic"" 3/10 Shura - ""BKLYNLDN"" 3/11 Arcade Fire - ""Baby Mine"" Beast Coast - ""Left Hand"" ft. Joey Bada$$, Flatbush Zombies, The Underachievers, Kirk Knight, Nyck Caution & CJ Fly Brad Paisley - ""My Miracle"" Lil Gotit - ""Drop the Top"" Melii - ""Who Changed"" 3/12 AJR - ""Birthday Party"" Lil Cobaine - ""719"" ft. Yung Pinch Ted Park - ""Ugly"" Tierra Whack - ""Wasteland"" 3/13 ​blackbear - ""SWEAR TO GOD"" Jon Z & Enrique Iglesias ""DESPUES QUE TE PERDI"" ​girl in red - ""i need to be alone."" TYuS‌ - ""Everyday's Gonna Rain"" Unlike Pluto - ""Closed Loop"" Warhol.ss - ""Wake Up"" 3/14 Ballout - ""Sending Nudes"" ft. Chief Keef Darko - ""Friends"" Gus Dapperton - ""Fill Me Up Anthem"" ILL BILL - ""Hulk Meat"" ft. Goretex Kygo - ""Think About You"" ft. Valerie Broussard Lauv & Troye Sivan - ""​i'm so tired... "" LSD - ""No New Friends"" Rauw Alejandro & Chencho Corleone - ""El Efecto"" Sean Paul - ""Contra La Pared"" 3/15 199∞ - ""Real Love"" 03 Greedo & Mustard - ""Wasted"" Afrojack - ""Sober"" ft. Rae Sremmurd, Stanaj Alex Sensation - ""Be Mine"" Alok, Felix Jaehn & The Vamps - ""All the Lies"" Anderson .Paak - ""King James"" Armin van Buuren - ""Turn It Up"" Billie Marten - ""Betsy"" Birdman & Juvenile - ""Dreams"" ft. NLE Choppa BLAKE - ""Hot Sauce"" Carnage - ""Letting People Go"" ft. Prinze George Cheat Codes & Daniel Blume - ""Who's Got Your Love"" Christian Paul - ""When Love Don't Love You Back"" Crywolf - ""FAWN"" Donkeyboy - ""Think You Should"" ft. Linnea Dale Emeli Sandé - ""Sparrow"" Grace VanderWaal - ""Hideaway"" GRiZ - ""Find My Own Way"" ft. Wiz Khalifa HRVY - ""Told You So"" Hyphen Hyphen - ""Lonely Baby "" ft. Kiiara Iggy Azalea - ""Sally Walker"" ImDontai - ""SAB"" Jai Wolf - ""This Song Reminds Me Of You"" Jake Miller - ""NIKES"" Jeremy Zucker & Bea Miller - ""comethru "" Joey Trap - ""Microwave"" Juliander - ""Nervous"" Lil Keed - ""Move It"" ft. Offset Lil Mosey - ""Bust Down Cartier"" Luke Christopher - ""HAPPY"" Mario - ""Care for You "" MISSIO - ""I See You"" Neek Bucks - ""Energy"" ft. Lil Durk Nessly - ""Freezing Cold"" ft. Yung Bans & KILLY Nikki Vianna & Matoma - ""When You Leave"" ​nothing,nowhere. - ""Call back"" OG Maco - ""Reach"" Plastic Toy & DJ Snake - ""Try Me"" Post Malone - ""Wow. "" ft. Roddy Ricch & Tyga Quando Rondo - ""Scarred From Love"" Rich the Kid & Tory Lanez - ""Tic Toc"" ScHoolboy Q - ""Numb Numb Juice"" SG Lewis & Clairo - ""Throwaway"" Shy Glizzy - ""Volcano"" Social Club Misfits - ""Que lo Que"" Sofía Reyes - ""R.I.P."" The Aston Shuffle - ""Now Or Never"" THEMXXNLIGHT - ""Faded"" Tory Lanez - ""Freaky"" VASSY - ""Concrete Heart"" Vegedream - ""Instagram"" Yelawolf - ""Trunk Muzik Intro"" Yella Beezy, Quavo & Gucci Mane - ""Bacc At It Again"" Young Money Yawn - ""You Heard Now"" ft. DaBaby Yung Garzi - ""Finer Things"" 3/16 BZZY - ""Breaking Bad"" 3/18 Comethazine & A$AP Rocky - ""Walk""  Dean Lewis - ""Stay Awake"" Two Door Cinema Club - ""Talk"" 3/19 Tierra Whack - ""Unemployed"" 3/20 Fitz and The Tantrums - ""123456"" Injury Reserve - ""Jailbreak the Tesla"" ft. Aminé Lizzo - ""Tempo"" ft. Missy Elliott Tommy Genesis - ""Rainbow""  Unlike Pluto - ""Illusion"" Why Don't We & Macklemore - ""I Don't Belong In This Club"" 3/21 Alan Walker - ""On My Way"" ft. Sabrina Carpenter & Farruko Dounia - ""Lowkey GRL"" Melii - ""Fresh Air"" PnB Rock - ""I Like Girls"" ft. Lil Skies Steel Banglez - ""Fashion Week"" ft. MoStack & AJ Tracey  3/22 Aaron Carpenter - ""Attitude"" Alessia Cara ""Out of Love "" Becky G - ""Green Light Go"" BJ the Chicago Kid - ""Close"" Ced Escobar - ""Body Bag"" ft. YoungBoy Never Broke Again & WNC Whop Bezzy DJ Snake & Eptic - ""SouthSide"" Dynoro & Ina Wroldsen - ""Obsessed"" Foster the People - ""Style"" Glowie - ""Cruel"" Gorgon City - ""Delicious"" ILLENIUM - ""Pray"" ft. Kameron Alexander In Real Life - ""Crazy AF"" Jacquees - ""Your Peace"" ft. Lil Baby Jaden Smith - ""Watch Me "" JayDaYoungan - ""Repo"" Jonas Blue - ""What I Like About You"" ft. Theresa Rex JOYRYDE - ""YUCK"" ft. GOLD Kailee Morgue - ""Headcase"" ft. Hayley Kiyoko KREAM - ""Edit You"" ft. Stela Cole Lil Duval - ""Pull Up "" ft. Ty Dolla $ign & 2 Chainz Liv Dawson - ""Pushing 21"" Logic - ""Confessions of a Dangerous Mind"" Loote - ""85%"" ft. gnash Luke Christopher - ""THE ONLY ONE"" Marina - ""Orange Trees"" Megan Thee Stallion - ""Sex Talk"" Molly Hammar - ""No Place Like Me"" ft. Big Narstie Naughty Boy, Calum Scott & Shenseea - ""Undo"" Nicky Jam & Ozuna - ""Te Robaré"" NLE Choppa - ""Capo"" Pia Mia - ""Bitter Love"" Pink Sweat$ - ""Coke & Henny Pt. 1"" Pivot Gang - ""Studio Ground Rules"" ft. MFnMelo, Frsh Waters & Saba PNL - ""Au DD"" Ryan Trey - ""Nowhere To Run"" ft. Bryson Tiller Sara Bareilles - ""Saint Honesty"" Sebastián Yatra - ""Cristina"" SJUR - ""Back To Life"" ft. Brandyn Burnette SNBRN - ""Feel My Love"" Sofi Tukker - ""Fantasy"" Steve Aoki & MONSTA X - ""Play it Cool"" Tame Impala - ""Patience"" The Chainsmokers & 5 Seconds of Summer - ""Who Do You Love "" Tommy Genesis - ""You Know Me "" ft. MadeinTYO Whipped Cream - ""Time"" ft. DeathbyRomy Yelawolf - ""Catfish Billy 2"" Yung Trench - ""Time Flies"" 3/24 FTC - ""The Money Man"" 3/25 Kid Bookie - ""Stuck In My Ways"" ft. Corey Taylor KILL.ZERO - ""i'm starting to hate you.."" Lil Xan - ""Bloody Nose"" Montana Of 300 - ""Middle Child "" ​​wifisfuneral - ""NO TRUST"" 3/26 Col3trane - ""Superpowers"" ft. GoldLink Louise - ""Stretch"" ReptileLegit - ""all he sees are blurs"" Yung Trench - ""ALL BAD"" 3/27 03 Greedo - ""Trap House"" ft. Shoreline Mafia 0-600 & Neo Pistéa - ""Tumbando el Club "" ft. Cazzu, Obie WanShot, Khea, Duki, Ysy A, Lucho SSJ, C.R.O , Marcianos Crew & Coqeéin Montana Diplo - ""Bubble Up"" Diplo - ""Hold You Tight"" Flume - ""Friends"" ft. Reo Cragun Gryffin & Slander - ""All You Need To Know"" HONNE - ""Crying Over You "" ft. RM & Beka Jack Larsen - ""Attack"" Jon Batiste - ""Don't Stop""  Jon Batiste - ""Changes"" Kelly Clarkson - ""Broken & Beautiful"" Sky Ferreira - ""Downhill Lullaby"" Unlike Pluto - ""Adios"" Yungeen Ace - ""So Long"" 3/28 Ciara - ""Thinkin' Bout You"" DUCKWRTH - ""UNSTATUS QUO"" Europa & Madison Beer - ""All Day and Night"" Faouzia - ""Born Without a Heart"" G-Eazy & Blueface - ""West Coast "" ft. ALLBLACK & YG Khalid - ""Self"" Lil Uzi Vert - ""Free Uzi"" NGHTMRE & A$AP Ferg - ""REDLIGHT"" P!NK - ""Hustle"" ROSALÍA & J Balvin - ""Con Altura"" ft. El Guincho The Boyboy West Coast - ""Bottoms Up "" ft. Ramriddlz YONAKA - ""Lose Our Heads"" YungManny - ""All My Guys Are Ballers"" 3/29 Bassnectar & PEEKABOO - ""Illusion"" ft. Born I Becky Hill & Weiss - ""I Could Get Used to This"" blackbear - ""HATE MY GUTS"" Blake Shelton - ""God's Country"" Brooke Candy - ""Happy"" DallasK & Nicky Romero - ""Sometimes"" ft. XYLØ Dillon Francis - ""Change Your Mind"" ft. ​lovelytheband Dog Blood - ""Turn Off the Lights"" Flume - ""Friends"" ft. Reo Cragun Frank Walker & Astrid S - ""Only When It Rains"" FXXXXY - ""Easy"" Hex Cougar - ""Evil Like Me"" Jai Wolf - ""Better Apart"" ft. Dresage Kane Brown & Becky G - ""Lost in the Middle of Nowhere "" Lil Boom - ""Yoshi's Island"" ft. MrHeadA$$Trendy ohtrapstar - ""100BRICKS"" ohtrapstar - ""ALL I WANT"" Otto Knows & Klahr - ""Something For Nothing"" RiFF RAFF - ""WHAT DOES iT MEAN TO BE A QUEEN"" Sam Feldt & Yves V - ""One Day"" ft. ROZES Sigma - ""Here We Go Again"" ft. Louisa The Chainsmokers - ""Kills You Slowly"" Tiesto & Mesto - ""Can't Get Enough"" Westlife - ""Better Man"" Tray Plus - ""We Want Smoke"" ft. JayDaYoungan & YNW Melly Ugly God - “Hello” ft. Lil Pump Whethan & Bearson - ""Win You Over"" ft. SOAK Zara Larsson - ""Don't Worry Bout Me"" 3/30 Elon Musk - “RIP Harambe” Galaxy Goats - ""U Was At The Club "" Lil Tracy - ""​this is it chief "" 3/31 Martin Garrix & Matisse and Sadko - ""Mistaken"" ft. Alex Aris PewDiePie - “Congratulations” ft. Roomie, Boyinaband  TBA Yella Beezy - ""Rich MF"" ft. Pharrell WilliamsEmbed"
Holy (feat. Chance The Rapper),Justin Bieber,in love,"LyricsHoly  - Justin Bieber Diamonds - Sam Smith Me Gusta  - Anitta Mood Swings  - Remix - Pop Smoke Welcome Back  - Ali Gatie Me x 7  - Alicia Keys Gates to the Sun  - SahBabii Said Sum  - Remix - Moneybagg Yo Dolly  - Lil Tecca Naked - Ava Max Agreeable - Cautious Clay hooligan - Baby Keem Dead Man Walking - Brent Faiyaz Money Mouf - Tyga One Too Many - Keith Urban cowboy in LA - LANY Bluebird - Gus Dapperton NOW - Olivia O'Brien Hot Stuff - Kygo 12 Problems - Rapsody Likе That  - Shy Glizzy Own It - Rico Nasty feel away  - slowthai Waves - Fiji Blue Is It Just Me? - Sasha Sloan god save me, but don't drown me out - YUNGBLUD ChopBloc Pt. 3  - BlocBoy JB Damn - Baby Rose Ready For You  - Black Coffee Blueberry Eyes  - MAX the author - Luz Without You - Luke Combs Long Violent History - Tyler Childers No Stress - WizKid  🐚 Mrs. Whoever - Saba Victoria - Lunay YUUUU - Busta Rhymes Gas Money - Yung Gravy Super Bad Mantra - JAWNY Freefall  - Whethan What Love Is - Tom Gregory Falling - Phil Good Passport - Masego Narco - Lil Loaded Sinners Prayer - Toosii cat out the bag - contradash Talk Shit - Savannah Sgro Back To My Bed - Elderbrook Too Many Nights - 220 KID Honest - rei brown miss andry - flowerkid Somebody I'm Proud Of - Sarah Barrios Homesick - Joseph Black  🐚 All White - Young Nudy Perfecta - Luis Fonsi Amigo - Lous and The Yakuza Splinter  - MYRNE Beautiful Superstar - A. G. Cook Free - SAULT Keep Yourself Alive - Yellow Days Broken Dreams, Inc. - Rise Against Take Care In Your Dreaming  - The Avalanches Lost It - Cochise  - THEY.] Back in Time  - Healy good things take time - Christian French Crocodile Tears  - BUNT. It's Ok If You Forget Me - Astrid S Carry Your Heart - Evie Irie The Word - Alec Wigdahl Sedona - Sir Chloe   Stranger - Jacob Banks MAD - 2KBABY Wait A Minute - Smoove'L HMU - Sevyn Streeter Sharkbait - Teddy Geiger You Are the Traffic - COIN Whenever You Call - ARASHI  🐚 Enchule - Rauw Alejandro Swimming  - IV  feat. Young Thug - Bino Rideaux]  GLIMPSE ft. Freddie Gibbs - JAHMED Left Lonely - Hotboii Sum Mo  - Trapboy Freddy Grouptext - Lido High Tide, Low Tide - Parson James Soldiers - Rachel Platten Passive Aggressive - Charlotte Cardin GETTING GOOD - Liza Owen  Material Boy - Sir Sly Time Will Tell - Marlon Craft BookBag 2.0 - BigKayBeezy R.I.P. - Lil Poppa   High & Dry - G. V. Prakash Someone Else - Emily Vu Gone Too Soon - Andrew JannakosEmbed"
Sunflower,Rex Orange County,in love,"Whoa I want to know where I can go When you're not around, and I'm feeling down So won't you stay for a moment so I can say I I need you so? 'Cause right now, you know That nothing here's new, and I'm obsessed with you Then I fell to the ground, and you smiled at me and said   I don't wanna see you cry You don't have to feel this emptiness She said, ""I'll love you till the day that I die"" Well, maybe she's right 'Cause I don't wanna feel like I'm not me And to be honest, I don't even know why I let myself get down in the first place  Tryna keep my mind at bay Sunflower still grows at night Waiting for a minute till the sun's seen through my eyes Make it down, down, do-down-down Diggy, dig down, doo-doo-doo-doo Waiting for a minute till the sun's seen through my eyes   You know you need to get yourself to sleep and dream A dream of you and I There's no need to keep an open eye I promise I'm the one for you Just let me hold you in these arms tonight I'm lucky to be me and you can see it in my face Back when I fucked my shit up too many times Why would I let myself get down in the first place?   Tryna keep my mind at bay Sunflower still grows at night Waiting for a minute till the sun's seen through my eyes Make it down, down, do-down-down Diggy, dig down, doo-doo-doo-doo Waiting for a minute till the sun's seen through my eyes You might also like And so she sat me down and told me that I didn't have to cry Said I didn't need to get down or feel empty inside And told me that she'll love me for as long as she's alive And well, maybe she's right 'Cause I hate it when I feel like I'm not me See, I honestly don't even know why I-I honestly don't even know why   Tryna keep my mind at bay Sunflower still grows at night Waiting for a minute till the sun's seen through my eyes Make it down, down, do-down-down Diggy, dig down, doo-doo-doo-doo Waiting for a minute till the sun's seen through my eyes112Embed"
Feels Like You,Faime,in love,LyricsThose cute guys moving around you They just want a piece of your life Free yourself Suffering this life you started losing your head  In your eyes  I see shame Scratching your face  Feel those lies Spreading around loudly screaming your fame Feels like you never lift the veil seeing under it Ask for commercial before all the audience get bored! In your eyes  I see shame Scratching your face You can't blame If you're just a fake  You can reset to zero don't be afraid Make a new smile and try to sell it well I see shameYou might also likeEmbed
This Time,Jeff Bernat,in love,"Honestly It's kinda been a couple crazy years for me Letting go of things that were a part of me It just didn't seem fair, wasn't going anywhere so   I did all the things, I couldn't get away But thinking of love, it had me so afraid I needed time alone, I needed time to crawl I needed time to find my way, so  This time I'm gon' give it everything And this time I know I'm gon' do it so damn better This time I promise that I'm gon' give her All that I can 'Cause I know she'll be worth a diamond ring And I'll do what it takes to keep this thing together After all this time you turned me into A better man   I'm doing better now All for my emotions to come back around I feel like I can finally let my guard down I'm finally going somewhere Learning how to take things slow   I did all the things, I couldn't get away And I'm thinking of love but girl I ain't afraid I had my time alone, I had my time to crawl I had my time to find my way, so, ooh   This time I'm gon' give it everything  And this time I know I'm gon' do it so damn better This time I promise that I'm gon' give her  All that I can 'Cause I know she'll be worth a diamond ring  And I'll do what it takes to keep this thing together  After all this time you turned me into A better man You might also like I don't know, who she gon' be But all I know is she gon' get the best of meEmbed"
Call You Mine (feat. Geologic Of The Blue Scholars),Jeff Bernat,in love,none
"always, i'll care",Jeremy Zucker,in love,"Driving down the interstate I've never felt so far away Leaving hardly hurts at all I'm sorry that I never call   Often, I get exhausted Trying regardless to be enough Is it selfish not to be selfless When all I can help is to open up?  I'll be better than I was before Despite every text of yours ignored Will you call me still, just to hear my voice? I swear, always, I'll care I'll care   Flipping through our photographs Those moments never seem to last Listening to self-control There's feelings that you'll never know   Leave me, it's never easy I've had a lifetime to be alone If you let me, when it gets heavy No, I'll never let you be all alone   I'll be better than I was before  Despite every text of yours ignored  Will you call me still, just to hear my voice? I swear, always Always Always, I'll care You might also like Always21Embed"
Fallin' All In You,Shawn Mendes,in love,"Sunrise with you on my chest No blinds in the place where I live Daybreak, open your eyes 'Cause this was only ever meant to be for one night Still, we're changing our minds here Be yours, be my dear So close with you on my lips Touch noses, feeling your breath Push your heart and pull away, yeah Be my summer in a winter day, love I can't see one thing wrong Between the both of us Be mine, be mine, yeah Anytime, anytime  Ooh, you know I've been alone for quite a while, haven't I? I thought I knew it all Found love but I was wrong More times than enough But since you came along I'm thinking, baby   You  are bringing out a different kind of me There's no safety net that's underneath I'm free Fallin' all in you Fell for men who weren't how they appear  Trapped up on a tightrope, now we're here We're free Fallin' all in you   Fast forward a couple years, yeah Grown up in the place that we live Make love, then we fight Laugh 'cause it was only meant to be for one night, baby I guess we can't control What's just not up to us Be mine, be mine, yeah Anytime, anytime You might also like Ooh, you know I've been alone for quite a while, haven't I? I thought I knew it all Found love but I was wrong More times than enough But since you came along I'm thinking, baby   You  are bringing out a different kind of me  There's no safety net that's underneath I'm free Fallin' all in you  Fell for men who weren't how they appear  Trapped up on a tightrope, now we're here We're free Fallin' all in you   Every time I see you, baby, I get lost If I'm dreaming, baby, please don't wake me up Every night I'm with you, I fall more in love Now I'm laying by your side Everything feels right since you came along I'm thinking, baby  You, yeah, are bringing out a different kind of me  There's no safety net that's underneath I'm free Fallin' all in you  Fell for men who weren't how they appear  Trapped up on a tightrope, now we're here We're free Fallin' all in...46Embed"
Smile,Johnny Stimson,in love,LyricsWhen my head is full of questions And the sky is full of rain When i'm worrying about what I can't change  I take a look at my reflection And try to make a funny face And for a second all my sorrows melt away  'cause if we just smile We can forget all of our troubles for a while We can just live inside this moment You and i get through the darkness Knowing we'll find the light If we just smile If we just If we just If we just smile Yeah if we just smile Maybe we focus on the future No use in living in the past Try to remember that the bad times never last  And if we take one step One step at a time We're gonna make it Gonna make it alright If we stick together we'll be fine  'cause if we just smile We can forget all of our troubles for a while We can just live inside this moment You and I get through the darkness Knowing we'll find the light If we just smile If we just If we just If we just  Smile when the sky is falling Smile when the love comes calling We can take tomorrow on with style  If we just smile We can forget all of our troubles for a while Yeah we can just live inside this moment You and I get through the darkness Knowing we'll find the light If we just smile If we just If we just If we just smile Yeah if we just smile If we just smile Yeah if we just smile If we just smileYou might also likeEmbed
I.F.L.Y.,Bazzi,in love,"This my baby This my Look   Touchin' you slowly, love how you hold me I was a player, that was the old me I sent a prayer for something holy Got naked and show me Girl, summer's been lonely, yeah At first, I was hesitant  Like a skeleton You 20, but intelligent Now all them other bitches so irrelevant, ah-ah, yeah Tan lines and some memories  Guess summer got the best of me  Chef B with the recipe, yeah With you, it's a better me  I guess what I'm sayin', I guess what I'm sayin' I guess what I'm sayin' is, I I fuckin' love you I guess what I'm sayin', I guess what I'm sayin' I guess what I'm sayin' is, I I fuckin' love you  Love you through the better days Love you through the rainy ones Champion, you're number one, yeah, that's true I guess what I'm sayin', I guess what I'm sayin' I guess what I'm sayin' is, I I fuckin' love you    Yes, I do, chillin' top floor with a penthouse view But that don't mean a thing unless I'm next to you 'Cause money just money 'less I spend it on you Next to me, when I'm with you, you bring out the best of me God made you a twin, but you the one I see But shoutout to Elisha, that's my baby, yeah, yeah, yeah But if I wrote you a love song, would you sing it? If I needed bail out of jail, would you bring it? If I win, then we're up, if we fail, then we wing it   I guess what I'm sayin', I guess what I'm sayin' I guess what I'm sayin' is, I I fuckin' love you  I guess what I'm sayin', I guess what I'm sayin' I guess what I'm sayin' is, I I fuckin' love you  Love you through the better days  Love you through the rainy ones Champion, you're number one, yeah, that's true But I guess what I'm sayin', I guess what I'm sayin' I guess what I'm sayin' is, I I fuckin' love you  You might also like That's my baby, yeah My baby, uh, uh My baby, yeah That's my baby, yeah My baby, uh, uh My baby60Embed"
Make You Mine,PUBLIC,in love,"Well, I will call you darlin' and everything will be okay 'Cause I know that I am yours and you are mine Doesn't matter anyway In the night, we'll take a walk, it's nothin' funny Just to talk   Put your hand in mine You know that I want to be with you all the time You know that I won't stop until I make you mine You know that I won't stop until I make you mine Until I make you mine  Well, I have called you darlin' and I'll say it again, again So kiss me 'til I'm sorry, babe, that you are gone and I'm a mess And I'll hurt you and you'll hurt me and we'll say things we can't repeat   Put your hand in mine You know that I want to be with you all the time You know that I won't stop until I make you mine You know that I won't stop until I make you mine Until I make you mine   You need to know We'll take it slow I miss you so We'll take it slow It's hard to feel you slipping  Through my fingers are so numb  And how was I supposed to know  That you were not the one?   Put your hand in mine You know that I want to be with you all the time You know that I won't stop until I make you mine You know that I won't stop until I make you mine Until I make you mine Put your hand in mine You know that I want to be with you all the time Oh darlin', darlin', baby, you're so very fine You know that I won't stop until I make you mine Until I make you— You might also like La-la-la-la-la La-la-la-la-la-la-la La-la-la-la-la La-la-la-la-la-la-la La-la-la-la-la La-la-la-la-la-la-la La-la-la-la-la19Embed"
Yellow Hearts (feat. Audrey Mika),Ant Saunders,in love,"Da da da da-da I put his name in yellow hearts   She put my name with yellow hearts Her favorite color, like the stars I didn't listen very hard When she told me she was crazy from the start   I drive down open roads so slow Here comes a train, I'll let it go Ain't got nobody on my phone Don't like being all alone  Not good at keeping with the trends  Too good at welcoming amends  It's been a while since I've heard her say That we were more than friends  Oh, I, I-I-I, know a lot is going on But girl, please tell me  And I'll let you be Are you still with me or not?  She put my name with yellow hearts Her favorite color, like the stars  I didn't listen very hard When she told me she was crazy from the start   No matter what you say or what you do I can't really tell I'd rather keep you waiting, conversating Don't want to be your muse or something you could lose I told you that I'm over it but lately When they say, you better best believe me I could change the way that you receive that On my way to meet you in the evening Try to say the way that I've been feeling I've been lying, I've been holding my breath You think I'm always upset, when I'm not  I've been lying, yellow hearts aren't just friends Now I don't need to pretend, try this again    She put my name with yellow hearts  Her favorite color, like the stars  I didn't listen very hard  When she told me she was crazy from the start  She put my name with yellow hearts  I said she was a work of art  I didn't listen very hard  When she told me she was crazy from the start  Only been playing games Haha, yuhYou might also likeEmbed"
